timestamp,n_components,n_neighbors,min_dist,cluster_selection_epsilon,n_clusters,n_unclustered
2025-12-02T18:54:47.871816,8,6,0.05,0.01,160,405
2025-12-02T18:54:53.162455,8,6,0.05,0.05,17,27
2025-12-02T18:54:58.529625,8,6,0.05,0.1,6,18
2025-12-02T18:55:03.940903,8,6,0.1,0.01,194,627
2025-12-02T18:55:09.293465,8,6,0.1,0.05,13,27
2025-12-02T18:55:14.687859,8,6,0.1,0.1,4,18
2025-12-02T18:55:17.291329,8,6,0.2,0.01,273,1369
2025-12-02T18:55:22.739520,8,6,0.2,0.05,10,27
2025-12-02T18:55:28.112819,8,6,0.2,0.1,4,18
2025-12-02T18:55:35.108116,8,10,0.05,0.01,176,788
2025-12-02T18:55:42.203884,8,10,0.05,0.05,7,0
2025-12-02T18:55:46.370041,8,10,0.05,0.1,4,0
2025-12-02T18:55:53.298224,8,10,0.1,0.01,200,1135
2025-12-02T18:56:00.456280,8,10,0.1,0.05,8,0
2025-12-02T18:56:07.646361,8,10,0.1,0.1,3,0
2025-12-02T18:56:14.768042,8,10,0.2,0.01,268,2310
2025-12-02T18:56:19.344615,8,10,0.2,0.05,6,0
2025-12-02T18:56:26.639697,8,10,0.2,0.1,3,0
2025-12-02T18:56:35.738280,8,14,0.05,0.01,146,782
2025-12-02T18:56:44.112596,8,14,0.05,0.05,6,1
2025-12-02T18:56:49.610973,8,14,0.05,0.1,2,0
2025-12-02T18:56:57.961791,8,14,0.1,0.01,165,1179
2025-12-02T18:57:06.266969,8,14,0.1,0.05,5,0
2025-12-02T18:57:12.114360,8,14,0.1,0.1,2,0
2025-12-02T18:57:20.396185,8,14,0.2,0.01,247,2229
2025-12-02T18:57:29.428810,8,14,0.2,0.05,5,0
2025-12-02T18:57:37.733486,8,14,0.2,0.1,2,0
2025-12-02T18:57:40.554059,16,6,0.05,0.01,108,231
2025-12-02T18:57:46.243803,16,6,0.05,0.05,15,30
2025-12-02T18:57:52.030608,16,6,0.05,0.1,8,30
2025-12-02T18:57:57.787523,16,6,0.1,0.01,129,399
2025-12-02T18:58:03.661045,16,6,0.1,0.05,10,23
2025-12-02T18:58:09.363349,16,6,0.1,0.1,5,18
2025-12-02T18:58:12.358608,16,6,0.2,0.01,198,997
2025-12-02T18:58:18.108592,16,6,0.2,0.05,9,23
2025-12-02T18:58:23.855190,16,6,0.2,0.1,4,18
2025-12-02T18:58:31.433083,16,10,0.05,0.01,120,448
2025-12-02T18:58:38.958446,16,10,0.05,0.05,5,0
2025-12-02T18:58:43.636586,16,10,0.05,0.1,3,0
2025-12-02T18:58:51.104038,16,10,0.1,0.01,143,706
2025-12-02T18:58:58.747302,16,10,0.1,0.05,6,0
2025-12-02T18:59:06.359627,16,10,0.1,0.1,2,0
2025-12-02T18:59:11.073796,16,10,0.2,0.01,196,1629
2025-12-02T18:59:18.666106,16,10,0.2,0.05,3,0
2025-12-02T18:59:26.267854,16,10,0.2,0.1,2,0
2025-12-02T18:59:34.984442,16,14,0.05,0.01,100,505
2025-12-02T18:59:40.970341,16,14,0.05,0.05,6,0
2025-12-02T18:59:49.700244,16,14,0.05,0.1,2,0
2025-12-02T18:59:58.513265,16,14,0.1,0.01,112,757
2025-12-02T19:00:07.253583,16,14,0.1,0.05,4,0
2025-12-02T19:00:12.947098,16,14,0.1,0.1,2,0
2025-12-02T19:00:21.490371,16,14,0.2,0.01,155,1601
2025-12-02T19:00:30.222562,16,14,0.2,0.05,2,0
2025-12-02T19:00:39.048481,16,14,0.2,0.1,2,0
2025-12-02T19:00:43.252075,32,6,0.05,0.01,70,109
2025-12-02T19:00:50.162430,32,6,0.05,0.05,9,30
2025-12-02T19:00:56.989803,32,6,0.05,0.1,5,30
2025-12-02T19:01:03.924595,32,6,0.1,0.01,78,190
2025-12-02T19:01:07.768206,32,6,0.1,0.05,7,12
2025-12-02T19:01:14.607237,32,6,0.1,0.1,4,5
2025-12-02T19:01:21.878088,32,6,0.2,0.01,100,547
2025-12-02T19:01:28.714234,32,6,0.2,0.05,5,30
2025-12-02T19:01:35.540085,32,6,0.2,0.1,4,23
2025-12-02T19:01:41.482229,32,10,0.05,0.01,60,165
2025-12-02T19:01:50.457219,32,10,0.05,0.05,3,0
